longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN
-117.88,33.63,21.0,9565.0,2289.0,3162.0,1831.0,4.7024,False,False,False,False
-118.17,34.1,25.0,4444.0,647.0,1922.0,652.0,8.058,False,False,False,False
-121.5,38.52,37.0,2008.0,466.0,1261.0,427.0,2.2574,True,False,False,False
-120.68,37.47,33.0,1028.0,226.0,658.0,197.0,2.3043,True,False,False,False
-121.95,37.29,30.0,3734.0,813.0,1834.0,824.0,3.4505,False,False,False,False
-118.3,34.06,20.0,1782.0,896.0,1749.0,823.0,2.2094,False,False,False,False
-118.16,33.96,24.0,1635.0,507.0,2480.0,481.0,2.4432,False,False,False,False
-119.87,36.81,6.0,1891.0,341.0,969.0,330.0,4.6726,True,False,False,False
-117.05,32.72,35.0,1777.0,369.0,1158.0,353.0,3.4107,False,False,False,True
-122.42,38.31,18.0,1479.0,246.0,550.0,217.0,4.7356,False,False,True,False
-118.26,34.08,52.0,984.0,276.0,994.0,260.0,2.3816,False,False,False,False
-118.1,33.93,36.0,1124.0,217.0,707.0,234.0,4.375,False,False,False,False
-122.82,38.55,8.0,6190.0,1088.0,2967.0,1000.0,3.8616,False,False,False,False
-121.57,39.5,31.0,2023.0,469.0,1073.0,436.0,1.5714,True,False,False,False
-119.65,36.33,52.0,1257.0,257.0,624.0,243.0,2.3523,True,False,False,False
-122.48,37.65,39.0,3348.0,666.0,1817.0,668.0,4.2593,False,False,False,True
-118.28,33.8,38.0,1471.0,329.0,1207.0,335.0,4.0,False,False,False,False
-118.31,33.94,43.0,2104.0,393.0,1132.0,394.0,3.0682,False,False,False,False
-119.73,34.41,29.0,1769.0,297.0,703.0,269.0,4.4375,False,False,False,True
-117.84,33.77,14.0,4412.0,952.0,1656.0,874.0,4.3292,False,False,False,False
-122.4,37.76,52.0,1495.0,311.0,506.0,275.0,4.4375,False,False,True,False
-121.77,38.69,47.0,1697.0,318.0,775.0,276.0,3.4559,True,False,False,False
-118.74,36.23,22.0,1033.0,232.0,442.0,136.0,2.6447,True,False,False,False
-117.63,34.12,4.0,4323.0,775.0,1479.0,663.0,6.0758,True,False,False,False
-118.29,34.09,28.0,1562.0,648.0,1974.0,597.0,1.9766,False,False,False,False
-122.26,40.19,35.0,2467.0,469.0,1194.0,444.0,2.0425,True,False,False,False
-118.39,34.19,23.0,1875.0,710.0,2555.0,657.0,2.0968,False,False,False,False
-119.72,36.82,15.0,946.0,239.0,550.0,246.0,2.2639,True,False,False,False
-118.4,33.93,35.0,2217.0,447.0,1000.0,450.0,4.7319,False,False,False,False
-122.25,37.39,33.0,370.0,42.0,153.0,53.0,10.6514,False,False,False,True
-119.0,35.31,37.0,1337.0,275.0,767.0,273.0,1.6522,True,False,False,False
-117.65,33.65,16.0,1538.0,260.0,835.0,259.0,5.5779,False,False,False,False
-118.52,34.2,37.0,1795.0,346.0,1082.0,354.0,4.9102,False,False,False,False
-117.9,33.87,34.0,1411.0,292.0,1040.0,299.0,3.4338,False,False,False,False
-119.73,36.52,20.0,1741.0,331.0,1466.0,289.0,2.5921,True,False,False,False
-118.19,33.89,31.0,886.0,224.0,1154.0,247.0,2.1071,False,False,False,False
-117.05,32.95,17.0,3039.0,555.0,1297.0,552.0,3.9531,False,False,False,False
-123.21,39.13,27.0,1531.0,266.0,822.0,234.0,4.0469,False,False,False,False
-119.15,34.17,22.0,1612.0,334.0,1431.0,335.0,4.8125,False,False,False,True
-117.48,34.09,32.0,1650.0,328.0,1124.0,290.0,3.1838,True,False,False,False
-122.04,37.61,36.0,1151.0,216.0,727.0,215.0,4.1719,False,False,True,False
-121.97,37.3,25.0,5463.0,1351.0,2758.0,1310.0,3.0079,False,False,False,False
-118.25,34.23,35.0,2839.0,592.0,1413.0,538.0,4.1667,False,False,False,False
-121.82,37.23,25.0,2349.0,394.0,1266.0,383.0,4.9688,False,False,False,False
-122.25,37.79,45.0,1786.0,526.0,1475.0,460.0,1.7772,False,False,True,False
-116.87,33.91,37.0,1858.0,361.0,1632.0,310.0,2.7536,True,False,False,False
-118.45,33.99,52.0,1010.0,244.0,573.0,242.0,4.1861,False,False,False,False
-121.39,38.55,18.0,1734.0,467.0,783.0,447.0,1.9044,True,False,False,False
-118.27,33.92,36.0,1465.0,346.0,1147.0,324.0,1.7262,False,False,False,False
-121.97,38.35,17.0,5678.0,1116.0,3182.0,1135.0,3.7388,True,False,False,False
-120.64,37.38,19.0,2256.0,449.0,1469.0,435.0,2.5129,True,False,False,False
-119.76,36.74,52.0,2137.0,448.0,1194.0,444.0,1.3029,True,False,False,False
-117.8,33.67,4.0,3345.0,552.0,1525.0,539.0,6.7962,False,False,False,False
-122.49,38.32,30.0,1631.0,284.0,788.0,284.0,3.3098,False,False,False,False
-122.44,37.77,52.0,3225.0,667.0,1494.0,619.0,4.4875,False,False,True,False
-121.88,37.46,5.0,1819.0,245.0,802.0,228.0,10.9722,False,False,False,False
-118.14,33.78,42.0,1898.0,488.0,940.0,483.0,3.4107,False,False,False,True
-122.31,38.33,21.0,1922.0,344.0,1051.0,342.0,3.6042,False,False,True,False
-117.88,33.82,26.0,1783.0,298.0,1048.0,306.0,6.0488,False,False,False,False
-121.37,38.68,35.0,1620.0,276.0,939.0,277.0,2.5542,True,False,False,False
-118.17,33.98,41.0,428.0,111.0,585.0,139.0,3.1786,False,False,False,False
-117.86,33.71,21.0,1795.0,406.0,2246.0,400.0,3.152,False,False,False,False
-117.45,34.1,9.0,4288.0,1017.0,3156.0,900.0,2.7827,True,False,False,False
-118.15,34.12,36.0,6119.0,1513.0,2719.0,1402.0,3.8427,False,False,False,False
-122.45,37.77,52.0,2645.0,626.0,1275.0,553.0,3.35,False,False,True,False
-118.35,34.01,35.0,3776.0,601.0,1583.0,749.0,3.5486,False,False,False,False
-119.18,36.4,39.0,1730.0,310.0,899.0,309.0,2.6648,True,False,False,False
-122.13,37.4,29.0,6027.0,1195.0,2687.0,1171.0,5.1335,False,False,True,False
-117.35,33.16,22.0,1331.0,305.0,580.0,193.0,3.975,False,False,False,True
-121.46,38.58,40.0,1394.0,397.0,689.0,353.0,1.7765,True,False,False,False
-118.38,33.85,28.0,4430.0,928.0,2131.0,885.0,4.9384,False,False,False,False
-118.46,34.16,28.0,2795.0,622.0,1173.0,545.0,4.4423,False,False,False,False
-117.93,33.92,34.0,2271.0,437.0,1393.0,433.0,4.2443,False,False,False,False
-121.61,39.13,33.0,2559.0,539.0,1583.0,504.0,1.4727,True,False,False,False
-122.17,37.69,24.0,2262.0,391.0,1125.0,366.0,4.7609,False,False,True,False
-116.38,34.2,14.0,4985.0,1238.0,2517.0,954.0,2.0674,True,False,False,False
-120.4,34.95,8.0,1885.0,286.0,835.0,290.0,5.0206,False,False,False,False
-119.31,36.31,18.0,3860.0,760.0,1643.0,664.0,2.0714,True,False,False,False
-118.37,33.77,26.0,6339.0,876.0,2540.0,880.0,10.1447,False,False,False,True
-122.43,37.73,52.0,1583.0,347.0,935.0,341.0,4.6786,False,False,True,False
-122.4,37.76,52.0,1185.0,246.0,480.0,253.0,4.4074,False,False,True,False
-121.66,36.68,10.0,913.0,265.0,508.0,251.0,0.9914,False,False,False,False
-118.14,33.95,36.0,1942.0,355.0,891.0,348.0,3.6635,False,False,False,False
-117.07,32.72,18.0,1758.0,286.0,987.0,277.0,4.6875,False,False,False,True
-122.46,37.68,23.0,2812.0,769.0,1983.0,681.0,2.9413,False,False,False,True
-117.97,33.84,18.0,1063.0,209.0,462.0,223.0,2.8348,False,False,False,False
-117.07,32.63,40.0,1706.0,322.0,796.0,303.0,3.5583,False,False,False,True
-118.45,34.21,30.0,2331.0,733.0,2172.0,707.0,2.1888,False,False,False,False
-118.35,34.1,20.0,2745.0,782.0,1161.0,739.0,3.9044,False,False,False,False
-118.15,34.13,30.0,2763.0,520.0,1143.0,465.0,4.7298,False,False,False,False
-118.29,33.74,30.0,2074.0,533.0,1311.0,531.0,2.0329,False,False,False,True
-118.07,34.09,35.0,1224.0,267.0,887.0,276.0,4.0987,False,False,False,False
-122.11,37.14,29.0,3201.0,640.0,1722.0,570.0,4.4597,False,False,False,True
-118.3,33.96,39.0,2802.0,618.0,1524.0,529.0,2.6518,False,False,False,False
-118.47,34.03,31.0,2642.0,681.0,1303.0,625.0,3.5987,False,False,False,False
-122.44,38.03,13.0,4284.0,1042.0,2146.0,937.0,4.1289,False,False,True,False
-121.31,37.97,45.0,2604.0,454.0,988.0,442.0,3.6667,True,False,False,False
-121.39,38.69,38.0,300.0,47.0,154.0,51.0,4.0909,True,False,False,False
-118.23,33.93,23.0,545.0,131.0,610.0,126.0,1.4861,False,False,False,False
-122.7,38.33,16.0,1244.0,242.0,696.0,236.0,3.6369,False,False,False,False
-117.25,32.8,32.0,1601.0,468.0,731.0,429.0,2.5568,False,False,False,True
-120.49,40.31,16.0,1821.0,360.0,969.0,359.0,3.4643,True,False,False,False
-121.35,38.66,8.0,3322.0,805.0,1694.0,774.0,2.7011,True,False,False,False
-118.03,34.06,27.0,2510.0,783.0,3481.0,726.0,2.4875,False,False,False,False
-118.02,33.96,36.0,2002.0,361.0,913.0,311.0,4.5446,False,False,False,False
-117.85,34.14,35.0,2899.0,429.0,1251.0,429.0,6.1049,True,False,False,False
-121.66,36.67,40.0,2878.0,592.0,1444.0,564.0,3.1439,False,False,False,False
-123.73,39.44,32.0,790.0,151.0,380.0,142.0,2.7,False,False,False,False
-121.0,37.67,26.0,90.0,18.0,47.0,18.0,1.125,True,False,False,False
-118.35,34.01,33.0,3246.0,601.0,1585.0,603.0,3.6629,False,False,False,False
-121.4,36.86,36.0,1256.0,270.0,910.0,255.0,1.9405,True,False,False,False
-122.64,38.23,52.0,1075.0,249.0,519.0,210.0,3.0769,False,False,False,False
-118.18,34.1,10.0,1907.0,398.0,921.0,369.0,4.875,False,False,False,False
-120.44,37.31,16.0,3369.0,532.0,1770.0,574.0,5.2662,True,False,False,False
-118.55,34.39,16.0,8726.0,1317.0,3789.0,1279.0,6.8419,False,False,False,False
-122.04,37.57,12.0,5719.0,1064.0,3436.0,1057.0,5.2879,False,False,True,False
-122.46,37.88,35.0,2492.0,409.0,812.0,373.0,8.8386,False,False,True,False
-118.34,34.08,52.0,1430.0,186.0,547.0,178.0,10.3661,False,False,False,False
-122.08,37.08,35.0,1541.0,297.0,791.0,277.0,4.425,False,False,False,True
-117.92,33.82,10.0,1548.0,506.0,1535.0,424.0,4.5057,False,False,False,False
-120.09,39.4,17.0,1076.0,283.0,171.0,64.0,2.125,True,False,False,False
-119.3,36.57,32.0,728.0,520.0,461.0,149.0,3.0156,True,False,False,False
-118.37,33.87,23.0,1829.0,331.0,891.0,356.0,6.5755,False,False,False,False
-122.44,37.7,6.0,3523.0,664.0,1705.0,608.0,4.9318,False,False,False,True
-117.56,33.94,6.0,575.0,73.0,318.0,88.0,7.0215,True,False,False,False
-118.23,34.23,34.0,2377.0,362.0,1055.0,362.0,6.0,False,False,False,False
-121.36,38.66,22.0,2878.0,599.0,1362.0,541.0,2.7955,True,False,False,False
-119.79,34.44,25.0,1479.0,314.0,977.0,309.0,4.1797,False,False,False,True
-117.13,32.75,20.0,2271.0,602.0,992.0,520.0,2.2599,False,False,False,True
-116.68,33.71,21.0,3460.0,711.0,658.0,255.0,3.5882,True,False,False,False
-119.95,38.95,21.0,2046.0,580.0,952.0,353.0,1.7245,True,False,False,False
-119.08,35.34,15.0,1474.0,235.0,768.0,238.0,4.1528,True,False,False,False
-122.41,37.66,37.0,2155.0,446.0,1255.0,428.0,3.8438,False,False,False,True
-117.05,33.02,18.0,917.0,121.0,388.0,131.0,6.3517,False,False,False,False
-118.95,34.19,24.0,2719.0,434.0,1318.0,424.0,4.675,False,False,False,False
-119.04,35.41,25.0,1577.0,310.0,844.0,309.0,3.0625,True,False,False,False
-118.0,33.81,13.0,2782.0,605.0,1749.0,628.0,4.1276,False,False,False,False
-117.66,33.64,17.0,3173.0,501.0,1555.0,520.0,6.7079,False,False,False,False
-118.01,33.77,32.0,1771.0,296.0,995.0,272.0,5.8362,False,False,False,False
-118.59,34.26,20.0,8146.0,1131.0,3562.0,1054.0,7.167,False,False,False,False
-122.26,37.88,52.0,2604.0,837.0,1798.0,769.0,1.725,False,False,True,False
-119.33,36.3,12.0,2172.0,352.0,1013.0,354.0,4.9464,True,False,False,False
-123.37,39.43,32.0,2780.0,470.0,1281.0,479.0,3.588,False,False,False,False
-118.39,34.17,28.0,2790.0,748.0,1351.0,697.0,3.2052,False,False,False,False
-121.62,39.13,41.0,1317.0,309.0,856.0,337.0,1.6719,True,False,False,False
-122.25,37.83,52.0,1279.0,287.0,534.0,291.0,3.1429,False,False,True,False
-118.3,34.11,52.0,1954.0,245.0,645.0,237.0,6.9391,False,False,False,False
-117.91,33.65,24.0,885.0,321.0,590.0,254.0,2.625,False,False,False,False
-117.85,33.8,40.0,1461.0,286.0,1322.0,264.0,4.3269,False,False,False,False
-121.67,40.87,31.0,1581.0,299.0,776.0,287.0,2.9063,True,False,False,False
-122.68,38.45,36.0,1686.0,303.0,744.0,304.0,4.0139,False,False,False,False
-121.88,38.03,10.0,2769.0,619.0,1045.0,469.0,4.1111,True,False,False,False
-121.77,38.67,42.0,2670.0,518.0,1548.0,534.0,2.2794,True,False,False,False
-117.98,33.7,24.0,3451.0,504.0,1736.0,493.0,6.3749,False,False,False,False
-117.96,33.83,30.0,2838.0,649.0,1758.0,593.0,3.3831,False,False,False,False
-122.3,37.88,46.0,1647.0,376.0,854.0,355.0,2.9,False,False,True,False
-118.14,33.91,34.0,2011.0,472.0,1087.0,423.0,3.0465,False,False,False,False
-122.18,37.79,46.0,2109.0,387.0,922.0,329.0,3.9712,False,False,True,False
-117.22,32.81,21.0,1703.0,335.0,902.0,369.0,3.7813,False,False,False,True
-117.62,33.64,2.0,7826.0,893.0,2985.0,790.0,10.1531,False,False,False,False
-118.47,33.99,31.0,1312.0,376.0,1178.0,330.0,2.0714,False,False,False,False
-119.99,38.93,23.0,1882.0,414.0,673.0,277.0,2.9091,True,False,False,False
-121.82,37.25,24.0,3344.0,531.0,1768.0,541.0,5.8305,False,False,False,False
-118.32,33.97,52.0,1590.0,302.0,844.0,295.0,2.7139,False,False,False,False
-116.98,33.93,33.0,376.0,83.0,267.0,88.0,2.1581,True,False,False,False
-117.18,32.76,52.0,2023.0,301.0,649.0,285.0,4.7396,False,False,False,True
-122.03,37.3,30.0,3007.0,554.0,1551.0,616.0,5.8521,False,False,False,False
-118.47,34.2,25.0,4590.0,1477.0,2723.0,1195.0,2.7118,False,False,False,False
-121.82,37.42,13.0,3752.0,572.0,1581.0,526.0,6.1091,False,False,False,False
-121.0,37.66,43.0,2369.0,413.0,944.0,422.0,3.2632,True,False,False,False
-118.34,34.1,28.0,2223.0,752.0,1271.0,684.0,2.5434,False,False,False,False
-121.47,38.68,19.0,946.0,182.0,474.0,173.0,5.0155,True,False,False,False
-118.07,33.97,36.0,1887.0,370.0,1006.0,329.0,3.1554,False,False,False,False
-121.99,38.48,17.0,1824.0,348.0,934.0,305.0,4.6719,True,False,False,False
-122.09,37.35,30.0,1502.0,186.0,501.0,180.0,10.0259,False,False,True,False
-122.42,37.73,35.0,1871.0,342.0,1055.0,310.0,4.625,False,False,True,False
-117.83,33.88,18.0,2112.0,340.0,1048.0,315.0,6.9308,False,False,False,False
-117.91,33.91,27.0,2181.0,501.0,1555.0,488.0,3.6106,False,False,False,False
-122.29,37.84,35.0,1872.0,419.0,1017.0,414.0,2.2106,False,False,True,False
-121.43,38.54,43.0,2084.0,417.0,912.0,410.0,2.9769,True,False,False,False
-118.39,34.14,19.0,5076.0,1034.0,2021.0,960.0,5.5683,False,False,False,False
-116.94,32.81,8.0,2517.0,632.0,1686.0,613.0,2.136,False,False,False,False
-117.98,34.02,32.0,2945.0,651.0,2044.0,652.0,3.1979,False,False,False,False
-121.09,37.56,32.0,1717.0,325.0,1356.0,307.0,2.6705,True,False,False,False
-119.64,34.43,34.0,3045.0,570.0,1002.0,488.0,5.623,False,False,False,False
-120.23,37.96,52.0,1230.0,262.0,609.0,243.0,2.0057,True,False,False,False
-117.7,33.92,4.0,8301.0,1333.0,3941.0,1236.0,6.2141,False,False,False,False
-121.89,37.82,4.0,11444.0,1355.0,3898.0,1257.0,13.2949,True,False,False,False
-122.43,37.79,52.0,3486.0,847.0,1248.0,813.0,7.2623,False,False,True,False
-117.7,33.6,25.0,1321.0,295.0,396.0,278.0,3.1131,False,False,False,False
-117.33,33.23,15.0,2919.0,592.0,1130.0,579.0,2.5872,False,False,False,True
-118.32,34.01,52.0,3104.0,645.0,1498.0,581.0,2.6667,False,False,False,False
-117.62,34.13,20.0,3216.0,516.0,1655.0,524.0,5.1261,True,False,False,False
-121.32,38.61,22.0,3902.0,845.0,1870.0,763.0,2.774,True,False,False,False
-121.8,36.94,29.0,2377.0,476.0,1669.0,499.0,2.8214,False,False,False,False
-120.67,35.63,8.0,2690.0,410.0,1085.0,381.0,4.2841,False,False,False,False
-118.0,33.81,33.0,2970.0,547.0,1869.0,539.0,4.3636,False,False,False,False
-119.79,36.76,52.0,1185.0,260.0,635.0,239.0,1.175,True,False,False,False
-118.56,34.41,4.0,17313.0,3224.0,6902.0,2707.0,5.6798,False,False,False,False
-122.21,37.77,46.0,1234.0,375.0,1183.0,354.0,2.3309,False,False,True,False
-120.57,35.12,39.0,1656.0,333.0,866.0,317.0,2.8824,False,False,False,False
-118.17,33.88,29.0,815.0,206.0,590.0,183.0,3.0052,False,False,False,False
-118.21,34.02,52.0,22.0,7.0,55.0,7.0,7.5752,False,False,False,False
-118.52,34.18,42.0,1611.0,410.0,879.0,386.0,3.1923,False,False,False,False
-117.79,33.7,16.0,6259.0,1098.0,3785.0,1114.0,6.3298,False,False,False,False
-118.4,34.1,27.0,3979.0,510.0,1351.0,520.0,15.0001,False,False,False,False
-121.56,39.01,22.0,1891.0,340.0,1023.0,296.0,2.7303,True,False,False,False
-118.64,34.18,33.0,3808.0,623.0,1784.0,615.0,5.1641,False,False,False,False
-122.2,37.46,40.0,1723.0,208.0,976.0,209.0,9.8892,False,False,False,True
-117.84,33.76,14.0,1458.0,423.0,615.0,365.0,4.2798,False,False,False,False
-121.81,37.37,24.0,962.0,146.0,492.0,155.0,7.2861,False,False,False,False
-117.17,32.69,45.0,3168.0,598.0,1341.0,562.0,4.5189,False,False,False,True
-121.76,36.91,23.0,1276.0,437.0,1359.0,376.0,1.9609,False,False,False,False
-122.76,38.52,6.0,2073.0,388.0,826.0,375.0,3.055,False,False,False,False
-122.49,37.78,42.0,2723.0,579.0,1419.0,519.0,3.6429,False,False,True,False
-117.32,34.24,29.0,1290.0,263.0,323.0,113.0,1.9265,True,False,False,False
-117.05,33.04,12.0,1840.0,254.0,580.0,234.0,6.7769,False,False,False,False
-118.14,34.04,40.0,1966.0,391.0,1120.0,362.0,3.7109,False,False,False,False
-118.61,34.2,16.0,1718.0,467.0,896.0,475.0,3.6296,False,False,False,False
-121.79,38.0,36.0,1141.0,234.0,562.0,213.0,2.5893,True,False,False,False
-118.12,33.98,44.0,932.0,179.0,717.0,180.0,3.6875,False,False,False,False
-118.18,34.03,39.0,609.0,145.0,690.0,134.0,2.9167,False,False,False,False
-118.56,34.19,36.0,2600.0,441.0,1246.0,426.0,4.1111,False,False,False,False
-118.26,34.02,48.0,1465.0,440.0,1859.0,400.0,1.3134,False,False,False,False
-119.81,36.77,49.0,1749.0,314.0,705.0,300.0,3.15,True,False,False,False
-118.15,34.19,47.0,1717.0,314.0,868.0,295.0,3.6094,False,False,False,False
-119.19,34.17,31.0,1872.0,434.0,1511.0,405.0,3.2314,False,False,False,True
-120.82,37.64,20.0,3375.0,630.0,1505.0,598.0,2.69,True,False,False,False
-119.7,36.8,31.0,1746.0,321.0,1186.0,360.0,2.6932,True,False,False,False
-117.27,33.2,34.0,1852.0,322.0,978.0,332.0,4.3542,False,False,False,False
-117.96,33.68,24.0,6517.0,1279.0,3441.0,1198.0,4.25,False,False,False,False
-118.53,34.18,16.0,7194.0,1976.0,3687.0,1894.0,3.1887,False,False,False,False
-118.61,34.17,19.0,5944.0,1345.0,2372.0,1250.0,3.8819,False,False,False,False
-119.71,34.36,34.0,1706.0,276.0,628.0,243.0,4.1842,False,False,False,True
-119.78,34.45,23.0,2077.0,306.0,705.0,256.0,6.4744,False,False,False,True
-118.37,33.86,28.0,2685.0,581.0,1243.0,529.0,4.119,False,False,False,False
-121.8,38.01,37.0,3058.0,567.0,1351.0,523.0,3.5179,True,False,False,False
-119.11,34.17,37.0,470.0,105.0,522.0,83.0,2.0368,False,False,False,True
-122.31,37.56,40.0,1351.0,330.0,701.0,297.0,3.32,False,False,False,True
-118.95,34.17,9.0,2372.0,312.0,1039.0,321.0,7.6016,False,False,False,False
-118.5,34.45,25.0,1290.0,190.0,689.0,216.0,6.0097,False,False,False,False
-122.33,40.6,5.0,6383.0,1206.0,2965.0,1141.0,3.8103,True,False,False,False
-122.47,37.76,40.0,3525.0,941.0,1675.0,857.0,3.2083,False,False,True,False
-118.04,33.83,20.0,1488.0,312.0,972.0,283.0,4.055,False,False,False,False
-121.86,37.35,43.0,1536.0,371.0,1256.0,357.0,2.8,False,False,False,False
-117.74,34.06,4.0,1391.0,506.0,727.0,369.0,1.4722,True,False,False,False
-122.09,37.37,27.0,1269.0,186.0,464.0,182.0,6.8374,False,False,True,False
-118.37,33.99,32.0,4018.0,564.0,1400.0,568.0,8.6718,False,False,False,False
-122.1,37.9,38.0,827.0,144.0,368.0,136.0,6.5095,False,False,True,False
-120.41,34.87,32.0,1997.0,317.0,866.0,281.0,5.062,False,False,False,False
